Forecaster,Party,Seats,Actual seats,Difference
The Economist,Con,112,121,9
The Economist,Lab,427,412,15
The Economist,SNP,20,9,11
The Economist,Lib Dems,50,72,22
The Economist,Reform,3,5,2
The Economist,Others,5,23,18
The Telegraph,Con,96,121,25
The Telegraph,Lab,440,412,28
Electoral Calculus,Con,78,121,43
Electoral Calculus,Lab,453,412,41
Electoral Calculus,SNP,19,9,10
Electoral Calculus,Lib Dems,80,72,8
Electoral Calculus,Reform,7,5,2
Principal Fish,Con,104,121,17
Principal Fish,Lab,446,412,34
Principal Fish,SNP,19,9,10
Principal Fish,Lib Dems,57,72,15
Principal Fish,Reform,0,5,5
ElectionMapsUK,Con,101,121,20
ElectionMapsUK,Lab,432,412,20
ElectionMapsUK,SNP,19,9,10
ElectionMapsUK,Lib Dems,68,72,4
ElectionMapsUK,Reform,3,5,2
Survation (MRP),Con,64,121,57
Survation (MRP),Lab,475,412,63
Survation (MRP),SNP,13,9,4
Survation (MRP),Lib Dems,60,72,12
Survation (MRP),Plaid Cymru,4,4,0
Survation (MRP),Green,3,4,1
Survation (MRP),Reform,13,5,8
Survation (MRP),Others,0,23,23
Techne (MRP),Con,82,121,39
Techne (MRP),Lab,461,412,49
Techne (MRP),SNP,19,9,10
Techne (MRP),Lib Dems,55,72,17
Techne (MRP),Plaid Cymru,0,4,4
Techne (MRP),Green,3,4,1
Techne (MRP),Reform,7,5,2
Techne (MRP),Others,23,23,0
YouGov (MRP),Con,102,121,19
YouGov (MRP),Lab,431,412,19
YouGov (MRP),SNP,18,9,9
YouGov (MRP),Lib Dems,72,72,0
YouGov (MRP),Plaid Cymru,3,4,1
YouGov (MRP),Green,2,4,2
YouGov (MRP),Reform,3,5,2
YouGov (MRP),Others,0,23,23
More in Common (MRP),Con,126,121,5
More in Common (MRP),Lab,430,412,18
More in Common (MRP),SNP,16,9,7
More in Common (MRP),Lib Dems,52,72,20
More in Common (MRP),Plaid Cymru,2,4,2
More in Common (MRP),Green,1,4,3
More in Common (MRP),Reform,2,5,3
More in Common (MRP),Others,2,23,21
Survation (MRP),Con,64,121,57
Survation (MRP),Lab,484,412,72
Survation (MRP),SNP,10,9,1
Survation (MRP),Lib Dems,61,72,11
Survation (MRP),Plaid Cymru,3,4,1
Survation (MRP),Green,3,4,1
Survation (MRP),Reform,7,5,2
Survation (MRP),Others,0,23,23
Focaldata (MRP),Con,108,121,13
Focaldata (MRP),Lab,444,412,32
Focaldata (MRP),SNP,15,9,6
Focaldata (MRP),Lib Dems,57,72,15
Focaldata (MRP),Plaid Cymru,2,4,2
Focaldata (MRP),Green,1,4,3
Focaldata (MRP),Reform,2,5,3
Focaldata (MRP),Others,19,23,4
JL Partners (SRP),Con,105,121,16
JL Partners (SRP),Lab,450,412,38
JL Partners (SRP),SNP,15,9,6
JL Partners (SRP),Lib Dems,55,72,17
JL Partners (SRP),Plaid Cymru,3,4,1
JL Partners (SRP),Green,1,4,3
JL Partners (SRP),Reform,2,5,3
JL Partners (SRP),Others,19,23,4
Find Out Now/Electoral Calculus (MRP),Con,60,121,61
Find Out Now/Electoral Calculus (MRP),Lab,450,412,38
Find Out Now/Electoral Calculus (MRP),SNP,24,9,15
Find Out Now/Electoral Calculus (MRP),Lib Dems,71,72,1
Find Out Now/Electoral Calculus (MRP),Plaid Cymru,4,4,0
Find Out Now/Electoral Calculus (MRP),Green,4,4,0
Find Out Now/Electoral Calculus (MRP),Reform,18,5,13
Find Out Now/Electoral Calculus (MRP),Others,1,23,22
We Think (MRP),Con,76,121,45
We Think (MRP),Lab,465,412,53
We Think (MRP),SNP,29,9,20
We Think (MRP),Lib Dems,52,72,20
We Think (MRP),Plaid Cymru,3,4,1
We Think (MRP),Green,3,4,1
We Think (MRP),Reform,3,5,2
We Think (MRP),Others,19,23,4
Savanta (MRP),Con,53,121,68
Savanta (MRP),Lab,516,412,104
Savanta (MRP),SNP,8,9,1
Savanta (MRP),Lib Dems,50,72,22
Savanta (MRP),Plaid Cymru,4,4,0
