constituency_code,prediction
E14001063,Con
E14001064,Con
E14001065,Lab
E14001066,Lab
E14001067,Con
E14001068,Lab
E14001069,Lab
E14001070,Lab
E14001071,Lib Dems
E14001072,Lab
E14001073,Lab
E14001074,Lab
E14001075,Lab
E14001076,Lab
E14001077,Con
E14001078,Lab
E14001079,Con
E14001080,Lib Dems
E14001081,Lab
E14001082,Con
E14001083,Lab
E14001084,Lab
E14001085,Lab
E14001086,Lab
E14001087,Lab
E14001088,Con
E14001089,Lab
E14001090,Con
E14001091,Lab
E14001092,Lab
E14001093,Lab
E14001094,Lab
E14001095,Lab
E14001096,Lab
E14001097,Lab
E14001098,Lab
E14001099,Lab
E14001100,Lab
E14001101,Lab
E14001102,Lab
E14001103,Lab
E14001104,Lab
E14001105,Lab
E14001106,Lab
E14001107,Lab
E14001108,Con
E14001109,Lab
E14001110,Lab
E14001111,Lab
E14001112,Lab
E14001113,Lab
E14001114,Reform
E14001115,Lab
E14001116,Lab
E14001117,Lab
E14001118,Lab
E14001119,Lab
E14001120,Lab
E14001121,Con
E14001122,Lab
E14001123,Lab
E14001124,Lab
E14001125,Con
E14001126,Con
E14001127,Con
E14001128,Con
E14001129,Lab
E14001130,Green
E14001131,Green
E14001132,Lab
E14001133,Lab
E14001134,Lab
E14001135,Lab
E14001136,Lab
E14001137,Lab
E14001138,Con
E14001139,Lab
E14001140,Lab
E14001141,Lab
E14001142,Lab
E14001143,Lab
E14001144,Lab
E14001145,Lab
E14001146,Con
E14001147,Lab
E14001148,Lab
E14001149,Lab
E14001150,Lab
E14001151,Lab
W07000091,Lab
E14001152,Lab
E14001153,Lib Dems
E14001154,Reform
E14001155,Con
E14001156,Con
E14001157,Lab
E14001158,Lib Dems
E14001159,Lib Dems
E14001160,Lab
E14001161,Lib Dems
E14001162,Lib Dems
E14001163,Lab
E14001164,Lab
E14001165,Lab
E14001166,Con
E14001167,Lab
E14001168,Lib Dems
E14001169,Lab
E14001170,Other
E14001171,Con
E14001172,Lab
E14001173,Lab
E14001174,Reform
E14001175,Lab
E14001176,Lab
E14001177,Lab
E14001178,Lab
E14001179,Lab
E14001180,Lab
E14001181,Lab
E14001182,Lab
E14001183,Lab
E14001184,Lab
E14001185,Lab
E14001186,Lab
E14001187,Lab
E14001188,Lab
E14001189,Lab
E14001190,Lab
E14001191,Lab
E14001192,Con
E14001193,Lab
E14001194,Lab
E14001195,Lab
E14001196,Lab
E14001197,Lib Dems
E14001198,Lab
E14001199,Lab
E14001200,Lab
E14001201,Lib Dems
E14001202,Lab
E14001203,Con
E14001204,Con
E14001205,Lab
E14001206,Lab
E14001207,Lab
E14001208,Lab
E14001209,Lab
E14001210,Lab
E14001211,Lab
E14001212,Con
E14001213,Lab
E14001214,Con
E14001215,Con
E14001216,Lab
E14001217,Con
E14001218,Lab
E14001219,Lib Dems
E14001220,Lib Dems
E14001221,Lab
E14001222,Lab
E14001223,Lab
E14001224,Lib Dems
E14001225,Lab
E14001226,Con
E14001227,Con
E14001228,Lab
E14001229,Lab
E14001230,Lib Dems
E14001231,Lab
E14001232,Con
E14001233,Con
E14001234,Lib Dems
E14001235,Con
E14001236,Lab
E14001237,Lab
E14001238,Lab
E14001239,Lab
E14001240,Lab
E14001241,Lib Dems
E14001242,Lab
E14001243,Con
E14001244,Lab
E14001245,Lab
E14001246,Lab
E14001247,Lib Dems
E14001248,Lab
E14001249,Lib Dems
E14001250,Con
E14001251,Lab
E14001252,Con
E14001253,Con
E14001254,Lab
E14001255,Lab
E14001256,Lab
E14001257,Lab
E14001258,Lib Dems
E14001259,Lab
E14001260,Lab
E14001261,Lab
E14001262,Lab
E14001263,Con
E14001264,Lab
E14001265,Lab
E14001266,Lab
E14001267,Lab
E14001268,Con
E14001269,Lib Dems
E14001270,Lab
E14001271,Lab
E14001272,Lab
E14001273,Lab
E14001274,Lab
E14001275,Con
